Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_HR,Pitch_BB,Pitch_SO,Field_DP,Field_E,Pitch_H,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
39,1445,194,39,14,248.25,842,301.79999999999995,91,84,757,1173,116,0.908432943790823,0.4999999238845548,2890.0004399473405,0.16666666666666666,0.32793923381770146,0.7178175618073316
70,1339,219,23,190,670.25,1075,37,28,191,689,1082,155,0.9063080304024669,0.4999997244281747,2678.0014759635096,0.9947643979057592,0.9727866473149492,0.9935304990757856
86,1377,232,35,137,602,917,46,27,137,602,917,153,0.9059915959240611,0.4999997363048611,2754.001452433591,1,1,1
70,1387,209,38,96,451,922,43,30,97,454,928,156,0.9057621751673173,0.499999743433962,2774.0014234291093,0.9896907216494846,0.9933920704845814,0.9935344827586207
82,1297,186,27,102,472,920,49,39,102,472,920,168,0.9050661460170323,0.49999971129239384,2594.0014978159256,1,1,1
75,1279,200,36,92,443,973,107,59,92,443,973,149,0.9045230605819398,0.49999971129239384,2558.001477028966,1,1,1
80,1244,179,54,122,525,1062,80,54,122,525,1062,186,0.9050009918928839,0.49999971129239384,2488.0014366098776,1,1,1
85,1273,171,37,115,456,1027,40,36,116,459,1033,136,0.9040272146641541,0.49999971129239384,2546.0014700999795,0.9913793103448276,0.9934640522875817,0.9941916747337851
86,1391,197,40,114,447,922,69,27,114,447,922,169,0.9046810651376977,0.49999974158617505,2782.001437815265,1,1,1
76,1271,213,23,96,441,827,72,34,96,441,827,159,0.9048289537991392,0.49999971129239384,2542.0014677903173,1,1,1
78,1305,179,27,82,374,888,60,39,86,391,928,141,0.9043538843030066,0.4999997312544612,2610.0014028524665,0.9534883720930233,0.9565217391304348,0.9568965517241379
68,1372,203,31,95,509,801,119,79,95,509,801,150,0.905336356027572,0.4999997343793827,2744.001457726722,1,1,1
72,1332,196,41,55,597,816,221,91,55,601,821,165,0.9061753730553641,0.499999721541546,2664.001483627469,1,0.9933444259567388,0.9939098660170523
76,1265,210,23,63,534,812,126,80,63,534,812,139,0.9054188730944335,0.49999971129239384,2530.0014608613305,1,1,1
74,1380,233,40,131,542,880,159,89,131,542,880,137,0.905336356027572,0.4999997374501155,2760.0014492761234,1,1,1
87,1417,226,28,108,539,682,86,69,108,539,682,136,0.9050009918928839,0.4999997509822505,2834.001411433307,1,1,1
88,1563,242,43,164,589,843,100,53,164,589,843,172,0.9049676543262872,0.49999979533100913,3126.0012795910548,1,1,1
66,1460,239,32,107,546,900,92,64,108,553,911,146,0.9050009918928839,0.4999997711129951,2920.0013367007205,0.9907407407407407,0.9873417721518988,0.9879253567508233
75,1390,197,24,143,579,841,65,49,209.25,757,1173,177,0.9053917550251367,0.4999998806742098,2780.0006634515516,0.6833930704898447,0.7648612945838837,0.7169650468883205
93,1518,268,26,186,613,760,55,53,186,613,760,171,0.9037110504674845,0.4999997830166244,3036.0013175236286,1,1,1
70,1467,241,23,154,509,835,41,39,154,509,835,186,0.9055236510799471,0.4999997676676011,2934.00136332715,1,1,1
