Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
39,0.7691707585647876,37.64575410863527,39,13,143,842,481,193,0.49999999429773767,84,927,5456,1.1089158739263647,1258.1094848485727,1.538341534673629,0.15476190476190477,0.15426105717367852,0.15432551319648094
70,0.7691645106853442,40.611409664741466,22,190,685,1075,37,28,0.4999997244281747,191,689,1082,1.1013666929514552,3111.9519377772504,1.5383298692114284,0.9947643979057592,0.9941944847605225,0.9935304990757856
86,0.7691668778130003,42.099805419309334,35,137,602,917,46,27,0.4999997363048611,137,602,917,1.100469111303363,3043.985601595667,1.5383345669286952,1,1,1
70,0.7691674760023717,39.44229630699596,38,96,451,922,43,30,0.499999743433962,97,454,928,1.0998288011420216,3146.1665102930183,1.538335741374156,0.9896907216494846,0.9933920704845814,0.9935344827586207
82,0.7691617079419649,36.664895259049764,27,102,472,920,49,39,0.49999970277177214,102,472,920,1.0979326010400707,3568.660855453984,1.538324330350759,1,1,1
75,0.7691604417695574,38.370814466047726,36,92,443,973,107,59,0.49999969434682223,92,443,973,1.0964946279605896,2909.9126446471455,1.5383218239250227,1,1,1
80,0.7691578587178902,35.792711886621795,54,122,525,1062,80,54,0.4999996769057392,122,525,1062,1.0977583071480603,4242.900794595898,1.538316711478382,1,1,1
85,0.7691600105507084,34.77904339211394,37,115,456,1027,40,36,0.4999996953004977,116,459,1033,1.095208762487822,2491.5218506935603,1.5383209585526776,0.9913793103448276,0.9934640522875817,0.9941916747337851
86,0.7691677125104422,38.00938848797263,40,114,447,922,69,27,0.49999974158617505,114,447,922,1.096909613610631,3604.8534568519567,1.538336220075578,1,1,1
76,0.7691598657702393,39.91256996321558,18,96,441,827,72,34,0.49999969048699394,96,441,827,1.097300486383157,3249.732287022592,1.5383206838009968,1,1,1
78,0.7691622578086379,35.792711886621795,27,82,374,888,60,39,0.4999997312544612,86,391,928,1.0960531827958797,2649.275673741672,1.5383253424534218,0.9534883720930233,0.9565217391304348,0.9568965517241379
68,0.7691665749550979,38.73007828391885,31,95,509,801,119,79,0.4999997343793827,95,509,801,1.0986610383577253,2943.1976525834093,1.5383339671366316,1,1,1
72,0.7691640576617086,37.888424738356846,41,55,597,816,221,109,0.499999721541546,55,601,821,1.1009882580003143,3460.9870685562037,1.5383289720448319,1,0.9933444259567388,0.9939098660170523
76,0.7691594282682396,39.5601997859608,23,63,534,812,126,80,0.49999968754393914,63,534,812,1.0988853654294781,2585.6959194668148,1.5383198178511803,1,1,1
74,0.7691670583167937,42.212897190169855,40,131,542,880,159,89,0.4999997374501155,131,542,880,1.0986610383577253,2522.7533369435632,1.5383349244129008,1,1,1
87,0.7691692124580953,41.41711467573089,28,108,539,682,86,69,0.4999997509822505,108,539,682,1.0977583071480603,2491.5218506935603,1.5383391910637172,1,1,1
88,0.7691765803755551,43.222130596690086,43,164,589,843,100,53,0.49999979533100913,164,589,843,1.0976693213356585,3714.3315303725653,1.538353790457746,1,1,1
66,0.7691715588389257,42.887414345152806,32,107,546,900,92,64,0.4999997711129951,108,553,911,1.0977583071480603,2810.994924791286,1.5383438218916714,0.9907407407407407,0.9873417721518988,0.9879253567508233
75,0.7691676535301681,38.00938848797263,24,143,579,841,65,49,0.4999998806742098,211,853,1239,1.0988115433635144,3899.7801846693364,1.5383356741865761,0.6777251184834123,0.6787807737397421,0.678773204196933
93,0.76917448284736,46.05654093342922,26,186,613,760,55,53,0.4999997830166244,186,613,760,1.0944008894125261,3677.689058946033,1.5383496332873126,1,1,1
70,0.7691719258658384,43.110743901252135,22,154,509,835,41,39,0.4999997676676011,154,509,835,1.099171536830153,4399.204317095261,1.5383445665462436,1,1,1
81,0.769166023366109,39.67787889960203,30,150,556,928,80,51,0.49999973085997235,150,556,928,1.0970095070077044,3641.196279898187,1.538332874786123,1,1,1
90,0.7691660850672573,40.146381195830124,31,153,648,902,106,51,0.4999997312544612,153,648,902,1.095208762487822,4881.980958858543,1.5383329969747748,1,1,1
