Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
70,0.8331858706740483,60.68876719207135,22,190,685,1075,37,28,0.4999997244281747,191,689,1082,1.1013666929514552,1996.525228795626,1.6663726597588076,0.9947643979057592,0.9941944847605225,0.9935304990757856
86,0.8331907403926122,63.24748770003869,35,137,602,917,46,27,0.4999997363048611,137,602,917,1.100469111303363,1955.4536218018193,1.6663823596190799,1,1,1
75,0.8331775309486654,56.86530781052488,36,92,443,973,107,59,0.49999969434682223,92,443,973,1.0964946279605896,1874.2747311732844,1.6663560805513935,1,1,1
85,0.8331766493263315,50.810955724379745,37,115,456,1027,40,36,0.4999996953004977,116,459,1033,1.095208762487822,1619.4766739134186,1.6663543141273234,0.9913793103448276,0.9934640522875817,0.9941916747337851
78,0.8331812484181376,52.50995550717077,27,82,374,888,60,39,0.4999997312544612,86,391,928,1.0960531827958797,1715.8227890893822,1.6663633924917307,0.9534883720930233,0.9565217391304348,0.9568965517241379
72,0.8331849402413237,56.04672369199135,41,55,597,816,221,109,0.499999721541546,55,601,821,1.1009882580003143,2206.6392439014617,1.6663708085127258,1,0.9933444259567388,0.9939098660170523
76,0.8331754595112177,58.890613758764765,23,63,534,812,126,80,0.49999968754393914,63,534,812,1.0988853654294781,1677.0340260114745,1.6663519603459747,1,1,1
74,0.8331911122932841,63.44250504674727,40,131,542,880,159,89,0.4999997374501155,131,542,880,1.0986610383577253,1638.578696653547,1.666383099603949,1,1,1
87,0.833195556901324,62.072034207515344,28,108,539,682,86,69,0.4999997509822505,108,539,682,1.0977583071480603,1619.4766739134186,1.666391943724991,1,1,1
93,0.8332064827034482,70.11923375831907,26,186,613,760,55,53,0.4999997830166244,186,613,760,1.0944008894125261,2336.4561575193065,1.666413688575031,1,1,1
70,0.8332011725459711,64.99372550996317,22,154,509,835,41,39,0.4999997676676011,154,509,835,1.099171536830153,2765.5890247260804,1.6664031194108107,1,1,1
81,0.8331889810270313,59.0915343878255,30,150,556,928,80,51,0.49999973085997235,150,556,928,1.0970095070077044,2314.6271253641385,1.666378859032567,1,1,1
90,0.8331891080138828,59.89237962897717,31,153,648,902,106,51,0.4999997312544612,153,648,902,1.095208762487822,3050.3750057344246,1.6663791116916702,1,1,1
92,0.8331919731822504,64.02605703842207,36,167,671,860,109,42,0.49999974009353515,167,671,860,1.0945415085844257,2017.180840286893,1.6663848125728722,1,1,1
