Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,field_e,pitch_h,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
70,1339,219,22,190,685,1075,37,28,1347,191,689,1082,193,155,1.2314448629771304,0.4999997244281747,0.994060876020787,0.9947643979057592,0.9941944847605225,0.9935304990757856
86,1377,232,35,137,602,917,46,27,1377,137,602,917,175,153,1.2299331329162813,0.4999997363048611,1,1,1,1
75,1279,200,36,92,443,973,107,59,1279,92,443,973,123,149,1.2233936117694213,0.49999969434682223,1,1,1,1
85,1273,171,37,115,456,1027,40,36,1281,116,459,1033,112,136,1.2213228759570662,0.4999996953004977,0.9937548790007806,0.9913793103448276,0.9934640522875817,0.9941916747337851
78,1305,179,27,82,374,888,60,39,1364,86,391,928,119,141,1.2226805190448937,0.4999997312544612,0.9567448680351907,0.9534883720930233,0.9565217391304348,0.9568965517241379
72,1332,196,41,55,597,816,221,109,1340,55,601,821,185,165,1.2308056844473123,0.499999721541546,0.9940298507462687,1,0.9933444259567388,0.9939098660170523
76,1265,210,23,63,534,812,126,80,1265,63,534,812,150,139,1.2272994172714449,0.49999968754393914,1,1,1,1
74,1380,233,40,131,542,880,159,89,1380,131,542,880,147,137,1.2269295457775036,0.4999997374501155,1,1,1,1
87,1417,226,28,108,539,682,86,69,1417,108,539,682,136,136,1.225448451644861,0.4999997509822505,1,1,1,1
93,1518,268,26,186,613,760,55,53,1518,186,613,760,106,171,1.2200314782734076,0.4999997830166244,1,1,1,1
70,1467,241,22,154,509,835,41,39,1467,154,509,835,154,190,1.2277723558019096,0.4999997676676011,1,1,1,1
81,1363,211,30,150,556,928,80,51,1363,150,556,928,128,170,1.2242283611177172,0.49999973085997235,1,1,1,1
90,1364,215,31,153,648,902,106,51,1364,153,648,902,112,202,1.2213228759570662,0.4999997312544612,1,1,1,1
92,1387,236,36,167,671,860,109,42,1387,167,671,860,107,156,1.2202557521794632,0.49999974009353515,1,1,1,1
75,1406,257,26,172,590,926,125,44,1406,172,590,926,117,162,1.2223075536112662,0.4999997470705714,1,1,1,1
75,1458,258,31,124,469,819,86,52,1458,124,469,819,135,175,1.2253030684407724,0.4999997647904471,1,1,1,1
91,1422,208,37,145,429,1011,89,40,1422,145,429,1011,96,173,1.2175590901141795,0.49999975273035147,1,1,1,1
80,1448,237,27,147,566,1000,69,43,1448,147,566,1000,140,186,1.226011251876914,0.4999997615304783,1,1,1,1
72,1306,202,20,88,416,882,160,101,1306,88,416,882,134,172,1.2251557337792494,0.4999997068542174,1,1,1,1
71,1399,259,24,114,564,930,169,100,1399,114,564,930,120,161,1.2228628012010694,0.49999974453313684,1,1,1,1
87,1553,282,28,208,630,993,65,44,1735,232,704,1109,106,134,1.2200314782734076,0.49999983389945934,0.8951008645533142,0.896551724137931,0.8948863636363636,0.8954012623985572
