Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,winsor_Field_E_trans,winsor_Pitch_H_trans,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
70,1339,219,22,190,685,1075,37,28,1347,191,689,1082,193,155,0.9063080304024669,0.4999997244281747,0.994060876020787,0.9947643979057592,0.9941944847605225,0.9935304990757856
85,1273,171,37,115,456,1027,40,36,1281,116,459,1033,112,136,0.9040272146641541,0.4999996953004977,0.9937548790007806,0.9913793103448276,0.9934640522875817,0.9941916747337851
78,1305,179,27,82,374,888,60,39,1364,86,391,928,119,141,0.9043538843030066,0.4999997312544612,0.9567448680351907,0.9534883720930233,0.9565217391304348,0.9568965517241379
76,1265,210,23,63,534,812,126,80,1265,63,534,812,150,139,0.9054188730944335,0.49999968754393914,1,1,1,1
87,1417,226,28,108,539,682,86,69,1417,108,539,682,136,136,0.9050009918928839,0.4999997509822505,1,1,1,1
93,1518,268,26,186,613,760,55,53,1518,186,613,760,106,171,0.9037110504674845,0.4999997830166244,1,1,1,1
81,1363,211,30,150,556,928,80,51,1363,150,556,928,128,170,0.9047189473957922,0.49999973085997235,1,1,1,1
91,1422,208,37,145,429,1011,89,40,1422,145,429,1011,96,173,0.9030914933464501,0.49999975273035147,1,1,1,1
80,1448,237,27,147,566,1000,69,43,1448,147,566,1000,140,186,0.9051293469230596,0.4999997615304783,1,1,1,1
72,1306,202,20,88,416,882,160,101,1306,88,416,882,134,172,0.9049337941110167,0.4999997068542174,1,1,1,1
95,1520,278,30,147,447,848,161,57,1520,147,447,848,87,139,0.9024053745496146,0.4999997835872576,1,1,1,1
85,1466,282,44,179,535,975,97,44,1466,179,535,975,107,138,0.9037663315081383,0.49999976735053203,1,1,1,1
51,1401,295,38,135,441,1022,53,32,1401,135,441,1022,139,144,0.9050979851781847,0.4999997452620006,1,1,1,1
77,1502,258,79,39,203,426,430,168,2897,75,392,822,710,104,0.908426824915842,0.4999999404237705,0.5184673800483258,0.52,0.5178571428571429,0.5182481751824818
88,1693,244,70,67,618,292,246,146,2094,83,764,361,450,131,0.907994245185615,0.49999988597064976,0.8085004775549188,0.8072289156626506,0.8089005235602095,0.8088642659279779
