Wins,Bat_H,Bat_2B,Bat_3B,Bat_HR,Bat_BB,Bat_SO,Base_SB,Base_CS,Pitch_H,Pitch_HR,Pitch_BB,Pitch_SO,Field_E,Field_DP,winsor_Field_E_trans,winsor_Pitch_H_trans,Ratio_Bat_H_Pitch_H,Ratio_Bat_HR_Pitch_HR,Ratio_Bat_BB_Pitch_BB,Ratio_Bat_SO_Pitch_SO
70,1339,219,23,190,670,1075,37,28,1347,191,689,1082,193,155,0.9063080304024669,0.4999997244281747,0.994060876020787,0.9947643979057592,0.9724238026124818,0.9935304990757856
86,1377,232,35,137,602,917,46,27,1377,137,602,917,175,153,0.9059915959240611,0.4999997363048611,1,1,1,1
75,1279,200,36,92,443,973,107,59,1316,92,443,973,123,149,0.9045230605819398,0.49999971129239384,0.9718844984802432,1,1,1
85,1273,171,37,115,456,1027,40,36,1316,116,459,1033,112,136,0.9040272146641541,0.49999971129239384,0.9673252279635258,0.9913793103448276,0.9934640522875817,0.9941916747337851
78,1305,179,27,82,374,888,60,39,1364,86,391,928,119,141,0.9043538843030066,0.4999997312544612,0.9567448680351907,0.9534883720930233,0.9565217391304348,0.9568965517241379
72,1332,196,41,55,597,816,221,91,1340,55,601,821,185,165,0.9061753730553641,0.499999721541546,0.9940298507462687,1,0.9933444259567388,0.9939098660170523
76,1265,210,23,63,534,812,126,80,1316,63,534,812,150,139,0.9054188730944335,0.49999971129239384,0.9612462006079028,1,1,1
74,1380,233,40,131,542,880,159,89,1380,131,542,880,147,137,0.905336356027572,0.4999997374501155,1,1,1,1
87,1417,226,28,108,539,682,86,69,1417,108,539,682,136,136,0.9050009918928839,0.4999997509822505,1,1,1,1
93,1518,268,26,186,613,760,55,53,1518,186,613,760,106,171,0.9037110504674845,0.4999997830166244,1,1,1,1
70,1467,241,23,154,509,835,41,39,1467,154,509,835,154,187,0.9055236510799471,0.4999997676676011,1,1,1,1
81,1363,211,30,150,556,928,80,51,1363,150,556,928,128,170,0.9047189473957922,0.49999973085997235,1,1,1,1
90,1364,215,31,153,648,902,106,51,1364,153,648,902,112,187,0.9040272146641541,0.4999997312544612,1,1,1,1
92,1387,236,36,167,670,860,109,42,1387,167,671,860,107,156,0.9037663315081383,0.49999974009353515,1,1,0.9985096870342772,1
75,1406,257,26,172,590,926,125,44,1406,172,590,926,117,162,0.9042647362991719,0.4999997470705714,1,1,1,1
75,1458,258,31,124,469,819,86,52,1458,124,469,819,135,175,0.9049676543262872,0.4999997647904471,1,1,1,1
91,1422,208,37,145,429,1011,89,40,1422,145,429,1011,100.75,173,0.9034018852397274,0.49999975273035147,1,1,1,1
80,1448,237,27,147,566,1000,69,43,1448,147,566,1000,140,186,0.9051293469230596,0.4999997615304783,1,1,1,1
72,1306,202,23,88,416,882,160,91,1316,88,416,882,134,172,0.9049337941110167,0.49999971129239384,0.9924012158054711,1,1,1
71,1399,259,24,114,564,930,169,91,1399,114,564,930,120,161,0.9043972888920141,0.49999974453313684,1,1,1,1
87,1553,282,28,199,630,993,65,44,1735,211,704,1109,106,134,0.9037110504674845,0.49999983389945934,0.8951008645533142,0.943127962085308,0.8948863636363636,0.8954012623985572
70,1581,258,24,193,530,980,53,39,1591,194,533,986,129,157,0.9047562132058619,0.4999998024715549,0.9937146448774355,0.9948453608247423,0.9943714821763602,0.9939148073022313
85,1530,314,27,147,510,1028,93,45,1530,147,510,1028,106,146,0.9037110504674845,0.4999997864069375,1,1,1,1
70,1404,248,23,158,511,1022,71,45,1404,158,511,1022,106,156,0.9037110504674845,0.4999997463494614,1,1,1,1
82,1574,309,34,199,608,1024,93,52,1574,211,608,1024,134,184,0.9049337941110167,0.4999997981816978,1,0.943127962085308,1,1
75,1447,275,26,158,494,1001,116,52,1447,158,494,1001,103,142,0.9035384372123693,0.499999761200759,1,1,1,1
99,1603,319,32,152,462,805,117,51,1603,152,462,805,100.75,151,0.9034018852397274,0.4999998054178671,1,1,1,1
92,1603,272,37,162,450,942,143,46,1603,162,450,942,100.75,126,0.9034018852397274,0.4999998054178671,1,1,1,1
95,1520,278,30,147,447,848,161,57,1520,147,447,848,100.75,139,0.9034018852397274,0.4999997835872576,1,1,1,1
